ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6054,"2018",3216,457,"Ames, IA","16000US1901855","ames-ia","Native Born",0.04877382956458438
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6054,"2018",2657,399,"Ames, IA","16000US1901855","ames-ia","Native Born",0.040296040159546236
3,"Foreign Born",0,"Under 5 Years",2018,"2018",50,30.000000000000004,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0007582995890016228
3,"Foreign Born",1,"5 to 17 Years",2018,"2018",349,141,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.005292931131231327
3,"Foreign Born",2,"18 to 24 Years",2018,"2018",3151,306,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.04778804009888227
3,"Foreign Born",3,"25 to 34 Years",2018,"2018",2029,279,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.03077179732168585
3,"Foreign Born",4,"35 to 44 Years",2018,"2018",1449,238,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.02197552208926703
3,"Foreign Born",5,"45 to 54 Years",2018,"2018",805,200,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.012208623382926127
3,"Foreign Born",6,"55 to 59 Years",2018,"2018",171,102,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0025933845943855497
3,"Foreign Born",7,"60 & 61 Years",2018,"2018",106,92,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0016075951286834403
3,"Foreign Born",8,"62 to 64 Years",2018,"2018",118,63.00000000000001,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0017895870300438297
3,"Foreign Born",9,"65 to 74 Years",2018,"2018",286,71,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.004337473649089282
3,"Foreign Born",10,"75 Years & Over",2018,"2018",196,100,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0029725343888863612
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6051,"2017",2456,490,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03778170909930005
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6051,"2017",4914,772,"Ames, IA","16000US1901855","ames-ia","Native Born",0.07559418506268749
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6051,"2017",25333,1552,"Ames, IA","16000US1901855","ames-ia","Native Born",0.3897084839627721
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6051,"2017",6935,906,"Ames, IA","16000US1901855","ames-ia","Native Born",0.10668410122298284
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6051,"2017",3617,580,"Ames, IA","16000US1901855","ames-ia","Native Born",0.05564187370202292
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6051,"2017",3687,571,"Ames, IA","16000US1901855","ames-ia","Native Born",0.05671871394508115
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6051,"2017",2060,424,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03168987000999923
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6051,"2017",795,274,"Ames, IA","16000US1901855","ames-ia","Native Born",0.012229828474732713
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6051,"2017",1278,360,"Ames, IA","16000US1901855","ames-ia","Native Born",0.019660026151834473
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6051,"2017",3054,503,"Ames, IA","16000US1901855","ames-ia","Native Born",0.046981001461426045
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6051,"2017",2638,473,"Ames, IA","16000US1901855","ames-ia","Native Born",0.040581493731251445
3,"Foreign Born",0,"Under 5 Years",2017,"2017",45,41,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0006922544419660026
3,"Foreign Born",1,"5 to 17 Years",2017,"2017",390,131,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.005999538497038689
3,"Foreign Born",2,"18 to 24 Years",2017,"2017",3097,246.00000000000003,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.04764248903930467
3,"Foreign Born",3,"25 to 34 Years",2017,"2017",1872,246.00000000000003,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.028797784785785707
3,"Foreign Born",4,"35 to 44 Years",2017,"2017",1366,200,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0210137681716791
