ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2018,"2018","04000US19","Iowa",1035,254.2754412050051,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2018,"2018","04000US19","Iowa",438,171.82549286994637,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2018,"2018","04000US19","Iowa",687,171.71196813268432,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2018,"2018","04000US19","Iowa",3234,471.0095540432275,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2018,"2018","04000US19","Iowa",1150,238.02730935756088,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2018,"2018","04000US19","Iowa",1395,245.34873140083684,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2018,"2018","04000US19","Iowa",212,132.84953895290718,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2018,"2018","04000US19","Iowa",221,100.49875621120891,"Ames, IA","16000US1901855","ames-ia"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2018,"2018","04000US19","Iowa",2835,381.6084380618437,"Ames, IA","16000US1901855","ames-ia"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2018,"2018","04000US19","Iowa",3608,542.8600187893745,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2018,"2018","04000US19","Iowa",439,184.02445489662506,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2018,"2018","04000US19","Iowa",802,198.09088823063016,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2018,"2018","04000US19","Iowa",461,158.49290204927158,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2018,"2018","04000US19","Iowa",1368,252.68557536986557,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2018,"2018","04000US19","Iowa",569,156.4161117020878,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2018,"2018","04000US19","Iowa",1111,257.42183279589943,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2017,"2017","04000US19","Iowa",2593,392.68944472700053,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2017,"2017","04000US19","Iowa",1410,297.63400343374747,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2017,"2017","04000US19","Iowa",1179,272.69396766338633,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2017,"2017","04000US19","Iowa",1175,269.5366394388711,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2017,"2017","04000US19","Iowa",1586,302.694565527695,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2017,"2017","04000US19","Iowa",674,197.43353311937668,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2017,"2017","04000US19","Iowa",161,80.00624975587844,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2017,"2017","04000US19","Iowa",6073,561.6057335889653,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2017,"2017","04000US19","Iowa",960,242.5881283162884,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2017,"2017","04000US19","Iowa",978,267.44158240632663,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2017,"2017","04000US19","Iowa",368,130.38404810405297,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2017,"2017","04000US19","Iowa",510,151.32745950421554,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2017,"2017","04000US19","Iowa",3017,460.934919484302,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2017,"2017","04000US19","Iowa",1206,275.17630711963557,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2017,"2017","04000US19","Iowa",1574,281.1280846873894,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2017,"2017","04000US19","Iowa",292,128.47178678604885,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2017,"2017","04000US19","Iowa",184,87.84645695758026,"Ames, IA","16000US1901855","ames-ia"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2017,"2017","04000US19","Iowa",2854,369.112448990819,"Ames, IA","16000US1901855","ames-ia"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2017,"2017","04000US19","Iowa",4193,563.9476926098732,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2017,"2017","04000US19","Iowa",421,210.09045670853305,"Ames, IA","16000US1901855","ames-ia"
